Axis1,Axis2,Axis3,label_name
-0.664,-0.191,0.41,grazing
-0.859,0.203,0.301,grazing
-1.07,0.32,0.066,grazing
-0.516,0.277,0.371,grazing
-0.762,0.242,0.297,grazing
-0.75,0.063,0.344,grazing
-1.11,0.297,0.211,grazing
-1.03,0.223,0.492,grazing
-1.03,0.09,0.293,grazing
-0.488,-0.301,0.445,grazing
-0.59,-0.352,0.461,grazing
-1.2,-0.395,0.32,grazing
-1.16,-0.094,0.344,grazing
-0.82,0.121,0.355,grazing
-0.703,0.34,0.531,grazing
-0.734,0.27,0.594,grazing
-0.68,0.031,0.387,grazing
-0.703,-0.199,0.348,grazing
-0.805,-0.07,0.25,grazing
-0.84,0.008,0.422,grazing
